utc_date	sha	event	os	script	verdict	duration_s	run_id
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	nixflake_hello.rb	PASS	2	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	nixflake_hello.py	PASS	1	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	stack_hello_NotInStackage.hs	PASS	3	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	stack_hello_InStackage.hs	PASS	3	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	cabal_hello.hs	PASS	16	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	uv_hello.py	PASS	2	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	deno_hello.ts	PASS	0	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	bb_hello.clj	PASS	6	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	rust_hello.rs	PASS	6	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	macos-latest	scala_hello.scala	PASS	52	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	nix_hello.hs	PASS	40	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	nix_hello.py	PASS	4	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	nix_hello.rb	PASS	2	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	nix_hello.el	PASS	14	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	nix_hello.perl	PASS	2	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	nixflake_hello.rb	PASS	1	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	nixflake_hello.py	PASS	2	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	stack_hello_NotInStackage.hs	PASS	103	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	stack_hello_InStackage.hs	PASS	976	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	cabal_hello.hs	PASS	5	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	uv_hello.py	PASS	0	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	deno_hello.ts	PASS	1	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	bb_hello.clj	PASS	1	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	rust_hello.rs	PASS	4	30029308943
2026-07-23T17:49:38Z	74ed51ac8c8b364dbc2fad214b292da45451aacd	push	ubuntu-latest	scala_hello.scala	PASS	34	30029308943
